md5,path,box_path,filename,restricted,redacted,publish
e837cf4285b586fca97d55d1dc9bd75b  ,/LCAAJ Redacted Images/LCAAJ_74_AnsSheet_31357_BB212-220_011.tif,LCAAJ Redacted Images,LCAAJ_74_AnsSheet_31357_BB212-220_011.tif,,,
fff1e3edf7721e1475195e55d35af8b6  ,/LCAAJ Redacted Images/LCAAJ_141_AnsSheet_53259_BBX_001.tif,LCAAJ Redacted Images,LCAAJ_141_AnsSheet_53259_BBX_001.tif,,,
a5b254b78bb786d54cd4b1afb061f18e  ,/LCAAJ Redacted Images/LCAAJ_180_AnsSheet_52046C_BB190-220_B.tif,LCAAJ Redacted Images,LCAAJ_180_AnsSheet_52046C_BB190-220_B.tif,restricted,,
57fc609a1462c13cea65abff76882120  ,/LCAAJ Redacted Images/LCAAJ_180_AnsSheet_52046C_BB1-190_B.tif,LCAAJ Redacted Images,LCAAJ_180_AnsSheet_52046C_BB1-190_B.tif,restricted,,
7198e07cd793dea0625c40302a7c510b  ,/LCAAJ Redacted Images/LCAAJ_78_AnsSheet_47223_BB220_002.tif,LCAAJ Redacted Images,LCAAJ_78_AnsSheet_47223_BB220_002.tif,,,
15b52a97bc4bfcf8d74794c383c814e6  ,/LCAAJ Redacted Images/LCAAJ_139_AnsSheet_53224_BB210-220_014.tif,LCAAJ Redacted Images,LCAAJ_139_AnsSheet_53224_BB210-220_014.tif,,,
6314f9aa13b95ae2cb20b32d05daec8f  ,/LCAAJ Redacted Images/LCAAJ_103_AnsSheet_49267A_BB206-220_012.tif,LCAAJ Redacted Images,LCAAJ_103_AnsSheet_49267A_BB206-220_012.tif,,,
daadf5fa6690a7f5566c496bb3577d7d  ,/LCAAJ Redacted Images/LCAAJ_172_AnsSheet_48085_BBXX_002.tif,LCAAJ Redacted Images,LCAAJ_172_AnsSheet_48085_BBXX_002.tif,,,
34cd6577a00b88df9e68df3db193ecf5  ,/LCAAJ Redacted Images/LCAAJ_86_AnsSheet_48172_BB211-end_011.tif,LCAAJ Redacted Images,LCAAJ_86_AnsSheet_48172_BB211-end_011.tif,,,
1e7bf40b791096e7c2ef9e22aa20c718  ,/LCAAJ Redacted Images/LCAAJ_74_AnsSheet_32358_BB158-167_00B.tif,LCAAJ Redacted Images,LCAAJ_74_AnsSheet_32358_BB158-167_00B.tif,restricted,,
5e78710dc1ffa6fa0da331c237eebeee  ,/Columbia_LCAAJ_14-003_Shipment006/LCAAJ_Box074/TIFFS/LCAAJ_74_AnsSheet_31357/LCAAJ_74_AnsSheet_31357_BB212-220_011.tif,LCAAJ_74_AnsSheet_31357,LCAAJ_74_AnsSheet_31357_BB212-220_011.tif,restricted,redacted,
0e4cf3bedd985069acb9309b746ef600  ,/Columbia_LCAAJ_14-003_Shipment006/LCAAJ_Box074/TIFFS/LCAAJ_74_AnsSheet_32358/LCAAJ_74_AnsSheet_32358_BB158-167_00B.tif,LCAAJ_74_AnsSheet_32358,LCAAJ_74_AnsSheet_32358_BB158-167_00B.tif,restricted,redacted,
6314f9aa13b95ae2cb20b32d05daec8f  ,/Columbia_LCAAJ_14-003_Shipment002/LCAAJ_Box103/TIFFS/LCAAJ_103_AnsSheet_49267A/LCAAJ_103_AnsSheet_49267A_BB206-220_012.tif,LCAAJ_103_AnsSheet_49267A,LCAAJ_103_AnsSheet_49267A_BB206-220_012.tif,restricted,redacted,
15b52a97bc4bfcf8d74794c383c814e6  ,/Columbia_LCAAJ_14-003_Shipment005_part2/LCAAJ_Box139/TIFFS/LCAAJ_139_AnsSheet_53224/LCAAJ_139_AnsSheet_53224_BB210-220_014.tif,LCAAJ_139_AnsSheet_53224,LCAAJ_139_AnsSheet_53224_BB210-220_014.tif,restricted,redacted,
fe47829280bcc94dac1bf9acbe806aa6  ,/Columbia_LCAAJ_14-003_Shipment005_part2/LCAAJ_Box134/TIFFS/LCAAJ_134_AnsSheet_52210/LCAAJ_134_AnsSheet_52210_BBB_001.tif,LCAAJ_134_AnsSheet_52210,LCAAJ_134_AnsSheet_52210_BBB_001.tif,restricted,redacted,
1bcb69e4a54a600f8e80fc5990113877  ,/Columbia_LCAAJ_14-003_Shipment007/LCAAJ_Box174/TIFFS/LCAAJ_141_AnsSheet_53259/LCAAJ_141_AnsSheet_53259_BBX_001.tif,LCAAJ_141_AnsSheet_53259,LCAAJ_141_AnsSheet_53259_BBX_001.tif,restricted,redacted,
2acf8286b3525d47e1372910ff4cfda0  ,/Columbia_LCAAJ_14-003_Shipment007/LCAAJ_Box174/TIFFS/LCAAJ_92_AnsSheet_48277/LCAAJ_92_AnsSheet_48277_BBX_001.tif,LCAAJ_92_AnsSheet_48277,LCAAJ_92_AnsSheet_48277_BBX_001.tif,restricted,redacted,
e38723b40db39e59c19aee9d06cda590  ,/Columbia_LCAAJ_14-003_Shipment007/LCAAJ_Box174/TIFFS/LCAAJ_92_AnsSheet_48277/LCAAJ_92_AnsSheet_48277_BBX_002.tif,LCAAJ_92_AnsSheet_48277,LCAAJ_92_AnsSheet_48277_BBX_002.tif,restricted,redacted,
