md5,filename,path
75d925d6a690c517c81c09eeec4f592a  ,LCAAJ_180_AnsSheet_52063_012.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52063/LCAAJ_180_AnsSheet_52063_012.tif
b85dde5adb4754f70c1e96bcbd8ed0e9  ,LCAAJ_180_AnsSheet_52063_009.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52063/LCAAJ_180_AnsSheet_52063_009.tif
240299d0e5bc55c44dc30e2231cb5697  ,LCAAJ_180_AnsSheet_52063_004.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52063/LCAAJ_180_AnsSheet_52063_004.tif
d170c29e53ebe3afaa459cd91f6d9fcb  ,LCAAJ_180_AnsSheet_52063_013.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52063/LCAAJ_180_AnsSheet_52063_013.tif
573bc3a23da76ed3984f5fc77420d4c3  ,LCAAJ_180_AnsSheet_52063_010.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52063/LCAAJ_180_AnsSheet_52063_010.tif
39f22ddf79c86bfc3cba93a822500d80  ,LCAAJ_180_AnsSheet_52063_002.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52063/LCAAJ_180_AnsSheet_52063_002.tif
719455d6a492ddbeaffb5ef144026411  ,LCAAJ_180_AnsSheet_52063_006.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52063/LCAAJ_180_AnsSheet_52063_006.tif
511c121507d8fbc48a6372a189338dc8  ,LCAAJ_180_AnsSheet_52063_000A.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52063/LCAAJ_180_AnsSheet_52063_000A.tif
b14ca757b19293bd3456434accabf0a4  ,LCAAJ_180_AnsSheet_52063_008.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52063/LCAAJ_180_AnsSheet_52063_008.tif
f92dda773f39760ad596f95019b0d538  ,LCAAJ_180_AnsSheet_52063_011.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52063/LCAAJ_180_AnsSheet_52063_011.tif
