Questionnaire_type,Interviewee_ID,LCAAJ_Location,Normalized_Location,Geonames_Variants,Country,Province,Latitude,Longitude,Interviewer_ID,LCAAJ_Region
Western,49162,Brno (Brünn),Brno (Brünn),,,,,,SL,"Austria, Czechoslovakia, Germany, Holland"
Western,49172,Uherské Hradiště (Ungarisch Hradisch),Uherské Hradiště (Ungarisch Hradisch),,,,,,SL,"Austria, Czechoslovakia, Germany, Holland"
Western,49175,Holešov,Holešov,,,,,,SL,"Austria, Czechoslovakia, Germany, Holland"
Western,49179,Tropava (Troppau),Tropava (Troppau),,,,,,SL,"Austria, Czechoslovakia, Germany, Holland"
Western,49188,Těšín,Těšín,,,,,,ML,"Austria, Czechoslovakia, Germany, Holland"
Eastern,49200,Lutowiska,Lutowiska,,,,,,AH,Eastern Galicia
Eastern,49204,Bukowina,Bukowina,,,,,,EG,Western Galicia
Eastern,49205,Nowy Sącz,Nowy Sącz,,,,,,MW,Western Galicia
Eastern,49212,Kurima,Kurima,,,,,,UW,Transcarpathia
Eastern,49216,Rymanów,Rymanów,,,,,,MW,Western Galicia
Eastern,49217,Ryglice,Ryglice,,,,,,EG,Western Galicia
Eastern,49220,Szczawne,Szczawne,,,,,,MS,Western Galicia
Eastern,49221,Cisna,Cisna,,,,,,MS,Western Galicia
Eastern?,49223,not in atlas list but in collection and in blue printout but crossed out,not in atlas list but in collection and in blue printout but crossed out,,,,,,,
Eastern,49224,Ulucz,Ulucz,,,,,,RS,Eastern Galicia
Eastern,49225,Ustrzyki Dolne,Ustrzyki Dolne,,,,,,MS,Eastern Galicia
Eastern,49227,Błażowa,Błażowa,,,,,,EG,Western Galicia
Eastern,49229,Przemyśl,Przemyśl,,,,,,MH,Eastern Galicia
Eastern,49230,Mościska,Mościska,,,,,,MS,Eastern Galicia
Eastern,49231,Rybnik,Rybnik,,,,,,EG,Eastern Galicia
Eastern,49233,Bolechów,Bolechów,,,,,,RS,Eastern Galicia
Eastern,49235,Drohobycz,Drohobycz,,,,,,RS,Eastern Galicia
Eastern,49237,Jaworów,Jaworów,,,,,,EG,Eastern Galicia
Eastern,49242,Kałusz,Kałusz,,,,,,MS,Eastern Galicia
Eastern,49243,Bołszowce,Bołszowce,,,,,,EG,Eastern Galicia
Eastern,49245,Strzeliska Nowe,Strzeliska Nowe,,,,,,MS,Eastern Galicia
